INT	INT	INT	INT	STRING	INT	STRING	STRING
100101	3	310	-1	Ё╓иЗLinh ThЗ	-1	#e195e1a#c72d27c	#YнРпт║╒вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100102	3	410	-1	Ё╓иЗй╔йч	-1	#ebb3e9f#cfd94b0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100103	3	510	-1	Ё╓иЗоийч	-1	#ebb3e9f#cfd94b0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100104	3	610	-1	Ё╓иЗиЯйч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100110	3	321	-1	Ё╓иЗ╣ьйч	-1	#e195e1a#c72d27c	#YнРпт║╒ЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100111	3	421	-1	Ё╓иЗ╣ьLinh ThЗ	-1	#ebb3e9f#cfd94b0	#YнРпт║╒ЁиЁ╓║╒вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100112	3	521	-1	Ё╓иЗ╣ьй╔йч	-1	#ebb3e9f#cfd94b0	#YнРпт║╒ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100113	3	621	-1	Ё╓иЗ╣ьоийч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100114	3	721	-1	Ё╓иЗ╣ьиЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100120	3	432	-1	Ё╓иЗлЛйч	-1	#ebb3e9f#cfd94b0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100121	3	532	-1	Ё╓иЗлЛLinh ThЗ	-1	#ebb3e9f#cfd94b0	#YнРпт║╒вйжй#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100122	3	632	-1	Ё╓иЗлЛй╔йч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓║╒вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100123	3	732	-1	Ё╓иЗлЛоийч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100124	3	832	-1	Ё╓иЗлЛиЯйч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100130	3	543	-1	Ё╓иЗт╙йч	-1	#ebb3e9f#cfd94b0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100131	3	643	-1	Ё╓иЗт╙Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100132	3	743	-1	Ё╓иЗт╙й╔йч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100133	3	843	-1	Ё╓иЗт╙оийч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓║╒вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100134	3	943	-1	Ё╓иЗт╙иЯйч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GлЛобнчк╚#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100140	3	654	-1	Ё╓иЗЁ╛йч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100141	3	754	-1	Ё╓иЗЁ╛Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100142	3	854	-1	Ё╓иЗЁ╛й╔йч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100143	3	954	-1	Ё╓иЗЁ╛оийч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100144	3	1054	-1	Ё╓иЗЁ╛иЯйч	-1	#e96491f#gFF0FA0	#YнРпт#Gв©╤Ш╡╩х╨#Yё╛ЁиЁ╓║╒вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100200	3	420	-1	г╖дЙйч	-1	#ebb3e9f#cfd94b0	#YнРпт#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100201	3	520	-1	г╖дЙLinh ThЗ	-1	#ebb3e9f#cfd94b0	#YнРпт#GЁ╛╥╡мякв#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100202	3	620	-1	г╖дЙй╔йч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100203	3	720	-1	г╖дЙоийч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100204	3	820	-1	г╖дЙиЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100210	3	531	-1	г╖дЙ╣ьйч	-1	#ebb3e9f#cfd94b0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100211	3	631	-1	г╖дЙ╣ьLinh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓║╒вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100212	3	731	-1	г╖дЙ╣ьй╔йч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100213	3	831	-1	г╖дЙ╣ьоийч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100214	3	931	-1	г╖дЙ╣ьиЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100220	3	642	-1	г╖дЙлЛйч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100221	3	742	-1	г╖дЙлЛLinh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100222	3	842	-1	г╖дЙлЛй╔йч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓║╒вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100223	3	942	-1	г╖дЙлЛоийч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100224	3	1042	-1	г╖дЙлЛиЯйч	-1	#e96491f#gFF0FA0	#YнРпт║╒ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100230	3	753	-1	г╖дЙт╙йч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100231	3	853	-1	г╖дЙт╙Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#лЛобнчк╚#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100232	3	953	-1	г╖дЙт╙й╔йч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#лЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100233	3	1053	-1	г╖дЙт╙оийч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓║╒вйжй#лЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100234	3	1153	-1	г╖дЙт╙иЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#лЛобнчк╚#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100240	3	864	-1	г╖дЙЁ╛йч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100241	3	964	-1	г╖дЙЁ╛Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#уП╧ек╦╫Я#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100242	3	1064	-1	г╖дЙЁ╛й╔йч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#уП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100243	3	1164	-1	г╖дЙЁ╛оийч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓#уП╧ек╦╫Я#Yё╛вйжй#GлЛобнчк╚х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100244	3	1264	-1	г╖дЙЁ╛иЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GЁ╛╥╡мякв#Yё╛ЁиЁ╓ё╛вйжй#уП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100300	3	630	-1	╬ев╙йч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100301	3	730	-1	╬ев╙Linh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100302	3	830	-1	╬ев╙й╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100303	3	930	-1	╬ев╙оийч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GлЛобнчк╚#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100304	3	1030	-1	╬ев╙иЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100310	3	741	-1	╬ев╙╣ьйч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100311	3	841	-1	╬ев╙╣ьLinh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓║╒вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100312	3	941	-1	╬ев╙╣ьй╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100313	3	1041	-1	╬ев╙╣ьоийч	-1	#e96491f#gFF0FA0	#YнРпт║╒вйжй#GлЛобнчк╚#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100314	3	1141	-1	╬ев╙╣ьиЯйч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#Gв©╤Ш╡╩х╨#Yё╛вйжй#GуП╧ек╦╫Я#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100320	3	852	-1	╬ев╙лЛйч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100321	3	952	-1	╬ев╙лЛLinh ThЗ	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓#GЁ╛╥╡мякв#Yё╛вйжй#Gв©╤Ш╡╩х╨#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
100322	3	1052	-1	╬ев╙лЛй╔йч	-1	#e96491f#gFF0FA0	#YнРпт#GлЛобнчк╚#Yё╛ЁиЁ╓║╒вйжй#GЁ╛╥╡мякв#Y╣дуДйч╡едэ Пуt ПъЧc╢кЁф╨е║ё
