INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT
27	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
28	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
29	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
30	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
31	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
32	0	??	??	??	0	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
33	0	??	??	??	0	1300	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
34	0	??	????#r?????0?15?#r?????5?	????#r?????0?15?#r?????5?	15	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
35	0	??	#c54FF00??????????#r#cFFFFFF??#r???????#r?????60??	#c54FF00??????????#r#cFFFFFF??#r???????#r?????60??	0	0	-1	3600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	35	|?????????1	-1	|?????????2	-1	|?????????2	-1																
36	0	???	???	???	0	120000	10000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1																										
37	0	???	#c54FF00??????????#r#cFFFFFF????25?#r????? 0-15?#r????#r?????180?#r??????????????????????2??	#c54FF00??????????#r#cFFFFFF????25?#r????? 0-15?#r????#r?????180?#r??????????????????????2??	0	180000	-1	-1	??MP	4	25	-1	??????buff??	2	66	-1	-1	-1	-1	-1	-1			|?????????1	154	|?????????1	-1	|?????????2	10480	|?????????2	-1																
38	0	????	??????	??????	0	1000	-1	60000		-1				-1				-1			-1			|?????????1	10	|?????????1	-1	|?????????2	-1	|?????????2	-1																
39	0	????	????	????	0	1000	60000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
40	0	??	??	??	0	600000	10000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
41	0	????	????	????	0	1200	1000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
42	0	????	????	????	0	1200	120000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
43	0	??????	??????	??????	0	1200	15000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
44	0	??	??	??	0	1200	60000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
45	0	????	????	????	0	1000	30000	-1		-1				-1				-1			-1			|?????????1	10	|?????????1	-1	|?????????2	-1	|?????????2	-1																
#	#	???	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
101	0	????	????	????	0	10000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
102	0	?????	?????	?????	0	1300	-1	19000		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
103	0	??????	??????	??????	0	10000	-1	16000		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
104	0	??????	??????	??????	0	3000	3000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
105	0	??????	??????	??????	0	1300	5000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
106	0	??????			0	0	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
107	0	??????	??????	??????	0	1300	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
108	0	??????	??????	??????	0	3000	3000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
109	0	?????	?????	?????	0	1300	-1	22000		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
110	0	?????	?????	?????	0	1300	-1	25000		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
111	0	?????	?????	?????	0	1300	-1	28000		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
112	0	?????	?????	?????	0	1300	-1	31000		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
113	0	?????	?????	?????	0	20000	2500	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
114	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	138	|?????????1	-1	|?????????2	-1	|?????????2	-1																
115	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	139	|?????????1	-1	|?????????2	-1	|?????????2	-1																
116	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	140	|?????????1	-1	|?????????2	-1	|?????????2	-1																
117	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	141	|?????????1	-1	|?????????2	-1	|?????????2	-1																
118	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	142	|?????????1	-1	|?????????2	-1	|?????????2	-1																
119	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	143	|?????????1	-1	|?????????2	-1	|?????????2	-1																
120	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	144	|?????????1	-1	|?????????2	-1	|?????????2	-1																
121	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	145	|?????????1	-1	|?????????2	-1	|?????????2	-1																
122	0	????	???	???	0	20000	5000	-1		-1				-1				-1			-1			|?????????1	146	|?????????1	-1	|?????????2	-1	|?????????2	-1																
123	0	????	????	????	0	10000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
124	0	??????(??)	??????	??????	0	10000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
125	0	??????	??????	??????	0	120000	2000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
126	0	??????	??????	??????	0	120000	20000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
127	0	????????	????????	????????	0	1200	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
128	0	???CD??	???CD??	???CD??	0	0	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
129	0	???	???	???	0	1200	1000	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
130	0	????(?????)	????(?????)	????(?????)	0	10000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
131	0	????(?????)	????(?????)	????(?????)	0	10000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
132	0	???????????	???????????	???????????	0	0	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
133	0	???????????	???????????	???????????	0	0	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
134	0	???????????	???????????	???????????	0	0	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
135	0	?????	?????	?????	0	0	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
136	0	???????	???????	???????	0	0	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
137	0	?????????(5??CD)????	?????????(5??CD)????	?????????(5??CD)????	0	180000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
138	0	?????????(5??CD)????	?????????(5??CD)????	?????????(5??CD)????	0	180000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
139	0	??????(5??CD)????	??????(5??CD)????	??????(5??CD)????	0	180000	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
240	0	????	???	???	0	1200	-1	-1		-1				-1				-1			-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	-1																
241	1	????	#c54FF00??????????#r#cFFFFFF????25?#r????#r?? ??????{A:190 B:0}????5??	#c54FF00??????????#r#cFFFFFF????25?#r????#r?? ?????????5??	0	1200	-1	-1	??MP	4	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	101	|?????????1	-1	|?????????2	-1	|?????????2	-1																
242	2	????	#c54FF00??????????#r#cFFFFFF????10?#r????? 0-2?#r????#r?????10?#r???? ??????{A:571 B:0}?#r#c5BC257??????	#c54FF00??????????#r#cFFFFFF????10? ????? 0-2?#r???? ?????10?#r???? ??????#r#c5BC257??????	0	10000	-1	-1	??MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	102	|?????????1	-1	|?????????2	-1	|?????????2	-1																
243	3	????	#c54FF00??????????#r#cFFFFFF????10?#r????? 0-2?#r????#r?????10?#r???? ???????{A:45 B:0}???#r#c5BC257??????	#c54FF00??????????#r#cFFFFFF????10? ????? 0-2?#r???? ?????10?#r???? ?????????#r#c5BC257??????	0	10000	-1	-1	??MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	103	|?????????1	-1	|?????????2	-1	|?????????2	-1																
244	4	????	#c54FF00??????????#r#cFFFFFF????10?#r????? 0-15?#r????#r?????10?#r???? ??????{A:571 B:0}?#r#c5BC257??????	#c54FF00??????????#r#cFFFFFF????10? ????? 0-15?#r???? ?????10?#r???? ??????#r#c5BC257??????	0	10000	-1	-1	??MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	104	|?????????1	-1	|?????????2	-1	|?????????2	-1																
245	5	????	#c54FF00??????????#r#cFFFFFF????50?#r?????3?#r???? ????{A:80 B:0}??	#c54FF00??????????#r#cFFFFFF????50?#r?????3?#r???? ?????	0	1200	3000	-1	??MP	4	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	105	|?????????1	-1	|?????????2	-1	|?????????2	-1																
246	6	????	#c54FF00??????????#r#cFFFFFF????25?#r????#r?? ??????{A:190 B:0}????5??	#c54FF00??????????#r#cFFFFFF????25?#r????#r?? ?????????5??	0	1200	-1	-1	??MP	4	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	106	|?????????1	-1	|?????????2	-1	|?????????2	-1																
247	7	????	#c54FF00??????????#r#cFFFFFF????10?#r?????0-15?#r????#r???? ???????????{A:126 B:0}??????{A:126 B:0}????30?#r#c5BC257??????	#c54FF00??????????#r#cFFFFFF????10?#r?????0-15? ????#r???? ?????????#r#c5BC257??????	0	1200	-1	-1	??MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	107	|?????????1	-1	|?????????2	-1	|?????????2	-1																
248	8	????	#c54FF00??????????#r#cFFFFFF????50?#r????#r?????30?#r?? ????????????5?	#c54FF00??????????#r#cFFFFFF????50?#r???? ?????30?#r?? ????????????5?	0	30000	-1	-1	??MP	4	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	109	|?????????1	-1	|?????????2	-1	|?????????2	-1																
249	9	????	#c54FF00??????????#r#cFFFFFF????10?#r?????1?#r?????15?#r???? ??1??15???????????1????????{A:45 B:0}???	#c54FF00??????????#r#cFFFFFF????10?#r?????1? ?????15?#r???? ??1??15???????????1??????????	12	15000	1000	-1	??MP	4	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			??Data	701																						
#	#																																														
250	-1	????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????50?#r?????0-15?#r????#r?????60?#r???? ??????#c54FF00{A:5 B:0}#cFFFFFF%#r#c5BC257???? ???????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????50?#r?????0-15? ???? ?????60?#r???? ??????#r#c5BC257???? ???????	0	60000	-1	-1	??mp	4	50	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2845	|?????????1	-1	|?????????2	-1	|?????????2	-1																
251	-1	????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????100?#r?????0-15?#r????#r?????60?#r???? ??????#c54FF00{A:6 B:0}#cFFFFFF%#r#c5BC257???? ???????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????100?#r?????0-15? ???? ?????60?#r???? ??????#r#c5BC257???? ???????	0	60000	-1	-1	??mp	4	100	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2846	|?????????1	-1	|?????????2	-1	|?????????2	-1																
252	-1	????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????150?#r?????0-15?#r????#r?????60?#r???? ??????#c54FF00{A:7 B:0}#cFFFFFF%#r#c5BC257???? ???????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????150?#r?????0-15? ???? ?????60?#r???? ??????#r#c5BC257???? ???????	0	60000	-1	-1	??mp	4	150	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2847	|?????????1	-1	|?????????2	-1	|?????????2	-1																
253	-1	????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????200?#r?????0-15?#r????#r?????60?#r???? ??????#c54FF00{A:8 B:0}#cFFFFFF%#r#c5BC257???? ???????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????200?#r?????0-15? ???? ?????60?#r???? ??????#r#c5BC257???? ???????	0	60000	-1	-1	??mp	4	200	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2848	|?????????1	-1	|?????????2	-1	|?????????2	-1																
254	-1	????	#cE07D4E???? ?5??#r#c54FF00??????????#r#cFFFFFF????250?#r?????0-15?#r????#r?????60?#r???? ??????#c54FF00{A:10 B:0}#cFFFFFF%#r#c5BC257???? ???????	#cE07D4E???? ?5??#r#c54FF00??????????#r#cFFFFFF????250?#r?????0-15? ???? ?????60?#r???? ??????#r#c5BC257???? ???????	0	60000	-1	-1	??mp	4	250	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2849	|?????????1	-1	|?????????2	-1	|?????????2	-1																
255	-1	????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????166?#r?????0-5?#r?????5?#r?????300?#r???? ?????????????#c54FF0010%#r#c5BC257???? ???????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????166? ?????0-5?#r?????5? ?????300?#r???? ?????????????#r#c5BC257???? ???????	0	300000	5000	-1	??mp	4	166	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2850	|?????????1	-1	|?????????2	-1	|?????????2	-1																
256	-1	????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????186?#r?????0-5?#r?????5?#r?????300?#r???? ?????????????#c54FF0020%#r#c5BC257???? ???????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????186? ?????0-5?#r?????5? ?????300?#r???? ?????????????#r#c5BC257???? ???????	0	300000	5000	-1	??mp	4	186	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2851	|?????????1	-1	|?????????2	-1	|?????????2	-1																
257	-1	????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????206?#r?????0-5?#r?????5?#r?????300?#r???? ?????????????#c54FF0030%#r#c5BC257???? ???????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????206? ?????0-5?#r?????5? ?????300?#r???? ?????????????#r#c5BC257???? ???????	0	300000	5000	-1	??mp	4	206	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2852	|?????????1	-1	|?????????2	-1	|?????????2	-1																
258	-1	????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????226?#r?????0-5?#r?????5?#r?????300?#r???? ?????????????#c54FF0040%#r#c5BC257???? ???????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????226? ?????0-5?#r?????5? ?????300?#r???? ?????????????#r#c5BC257???? ???????	0	300000	5000	-1	??mp	4	226	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2853	|?????????1	-1	|?????????2	-1	|?????????2	-1																
259	-1	????	#cE07D4E???? ?5??#r#c54FF00??????????#r#cFFFFFF????246?#r?????0-5?#r?????5?#r?????300?#r???? ?????????????#c54FF0050%#r#c5BC257???? ???????	#cE07D4E???? ?5??#r#c54FF00??????????#r#cFFFFFF????246? ?????0-5?#r?????5? ?????300?#r???? ?????????????#r#c5BC257???? ???????	0	300000	5000	-1	??mp	4	246	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2854	|?????????1	-1	|?????????2	-1	|?????????2	-1																
260	-1	????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????5????30??#r#c5BC257???? ???????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????5????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2800	|?????????1	-1	|?????????2	-1	|?????????2	-1																
261	-1	????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????10????30??#r#c5BC257???? ???????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????10????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2801	|?????????1	-1	|?????????2	-1	|?????????2	-1																
262	-1	????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????15????30??#r#c5BC257???? ???????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????15????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2802	|?????????1	-1	|?????????2	-1	|?????????2	-1																
263	-1	????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????20????30??#r#c5BC257???? ???????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????20????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2803	|?????????1	-1	|?????????2	-1	|?????????2	-1																
264	-1	????	#cE07D4E???? ?5??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????25????30??#r#c5BC257???? ???????	#cE07D4E???? ?5??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????25????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2804	|?????????1	-1	|?????????2	-1	|?????????2	-1																
265	-1	????	#cE07D4E???? ?6??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????30????30??#r#c5BC257???? ???????	#cE07D4E???? ?6??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????30????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2805	|?????????1	-1	|?????????2	-1	|?????????2	-1																
266	-1	????	#cE07D4E???? ?7??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????35????30??#r#c5BC257???? ???????	#cE07D4E???? ?7??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????35????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2806	|?????????1	-1	|?????????2	-1	|?????????2	-1																
267	-1	????	#cE07D4E???? ?8??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????40????30??#r#c5BC257???? ???????	#cE07D4E???? ?8??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????40????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2807	|?????????1	-1	|?????????2	-1	|?????????2	-1																
268	-1	????	#cE07D4E???? ?9??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????45????30??#r#c5BC257???? ???????	#cE07D4E???? ?9??#r#c54FF00??????????#r#cFFFFFF????5%#r?????0-15?#r????#r?? ????45????30??#r#c5BC257???? ???????	0	1300	-1	-1	??%mp	5	5	-1	????	10	-1	-1	-1	-1	-1	-1	-1			|?????????1	2808	|?????????1	-1	|?????????2	-1	|?????????2	-1																
269	-1	????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????480?#r????????????????????????#r#c5BC257???? ???????	#cE07D4E???? ?1??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????480?#r????????????????????????#r#c5BC257???? ???????	7	480000	3000	-1	??mp	4	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	1209																
270	-1	????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????420?#r????????????????????????#r#c5BC257???? ???????	#cE07D4E???? ?2??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????420?#r????????????????????????#r#c5BC257???? ???????	7	420000	3000	-1	??mp	4	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	1209																
271	-1	????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????360?#r????????????????????????#r#c5BC257???? ???????	#cE07D4E???? ?3??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????360?#r????????????????????????#r#c5BC257???? ???????	7	360000	3000	-1	??mp	4	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	1209																
272	-1	????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????300?#r????????????????????????#r#c5BC257???? ???????	#cE07D4E???? ?4??#r#c54FF00??????????#r#cFFFFFF????300?#r?????3?#r?????300?#r????????????????????????#r#c5BC257???? ???????	7	300000	3000	-1	??mp	4	300	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1			|?????????1	-1	|?????????1	-1	|?????????2	-1	|?????????2	1209																
