PetRuler::BuildPetDetailAttrib...BEGIN : uHumanGUID=3c3360a2, pOutPetDB=-578826752, nPetAttrID=3159, nPetLevel=1, nRuler=1! (-578815166)(T0=2016-4-1_8:22:3 T1=9532.7520)
PetRuler::BuildPetDetailAttrib...END (-578815166)(T0=2016-4-1_8:22:3 T1=9532.7520)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:11, SceneID:2, XPos:215.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:19, Con:9, Dex:18, Spr:17, Int:12, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:0, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:1 (-578815166)(T0=2016-4-1_8:22:3 T1=9532.7520)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:30, Con:20, Dex:29, Spr:28, Int:23, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:55, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:12 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:31, Con:21, Dex:30, Spr:29, Int:24, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:60, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:13 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:32, Con:22, Dex:31, Spr:30, Int:25, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:65, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:14 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:33, Con:23, Dex:32, Spr:31, Int:26, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:70, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:15 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:34, Con:24, Dex:33, Spr:32, Int:27, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:75, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:16 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:35, Con:25, Dex:34, Spr:33, Int:28, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:80, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:17 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:36, Con:26, Dex:35, Spr:34, Int:29, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:85, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:18 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:37, Con:27, Dex:36, Spr:35, Int:30, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:90, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:19 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:38, Con:28, Dex:37, Spr:36, Int:31, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:95, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:20 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:39, Con:29, Dex:38, Spr:37, Int:32, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:100, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:21 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:40, Con:30, Dex:39, Spr:38, Int:33, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:105, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:22 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:41, Con:31, Dex:40, Spr:39, Int:34, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:110, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:23 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:42, Con:32, Dex:41, Spr:40, Int:35, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:115, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:24 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:43, Con:33, Dex:42, Spr:41, Int:36, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:120, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:25 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:44, Con:34, Dex:43, Spr:42, Int:37, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:125, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:26 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:45, Con:35, Dex:44, Spr:43, Int:38, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:130, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:27 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:46, Con:36, Dex:45, Spr:44, Int:39, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:135, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:28 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:47, Con:37, Dex:46, Spr:45, Int:40, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:140, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:29 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:2, XPos:214.32, ZPos:153.06, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:48, Con:38, Dex:47, Spr:46, Int:41, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:145, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:30 (-578815166)(T0=2016-4-1_8:22:11 T1=9540.7850)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:49, Con:39, Dex:48, Spr:47, Int:42, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:150, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:31 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5490)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:50, Con:40, Dex:49, Spr:48, Int:43, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:155, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:32 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:51, Con:41, Dex:50, Spr:49, Int:44, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:160, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:33 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:52, Con:42, Dex:51, Spr:50, Int:45, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:165, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:34 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:53, Con:43, Dex:52, Spr:51, Int:46, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:170, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:35 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:54, Con:44, Dex:53, Spr:52, Int:47, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:175, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:36 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:55, Con:45, Dex:54, Spr:53, Int:48, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:180, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:37 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:56, Con:46, Dex:55, Spr:54, Int:49, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:185, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:38 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:57, Con:47, Dex:56, Spr:55, Int:50, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:190, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:39 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:58, Con:48, Dex:57, Spr:56, Int:51, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:195, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:40 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:59, Con:49, Dex:58, Spr:57, Int:52, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:200, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:41 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:60, Con:50, Dex:59, Spr:58, Int:53, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:205, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:42 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:61, Con:51, Dex:60, Spr:59, Int:54, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:210, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:43 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
POL:CharGUID:3C3360A2, TargetGUID:FFFFFFFF, OPType:1, SceneID:194, XPos:39.50, ZPos:31.36, HighSection:1010000034, LowSection:9532752, DataID:3159, Str:62, Con:52, Dex:61, Spr:60, Int:55, StrPer:1553, ConPer:1317, DexPer:1065, SprPer:838, IntPer:839, RemainPoint:215, GrowRate:1.042000, Gengu:0, Skill0~Skill12:-1, -1, 722, 662, -1, -1, -1, -1, -1, -1, -1, -1, -1, Savvy:0, Level:44 (-960541694)(T0=2016-4-1_9:9:54 T1=12403.5500)
